id,VillageName
1253,Kukada Kirar
1254,Partalai
1255,Jamuniya Madho
1256,Kundali Khurd
1257,Raipura
1258,Bamla
1259,Kekada
1260,Nawalgaon
1261,Bodi
1262,Nishan Daryao
1263,Thaori Khurd
1264,Jakhawadi
1265,Murmari
1266,Bhaurar Khapa
1267,Chhipanala
1268,Chindboh
1269,Badgona
1270,Bargaon
1271,Pipalgaon
1272,Mehlari
1273,Vijaygarh
1274,Kusumdhana
1275,Pipariya
1276,Totkadei
1277,Najarpur Ryt.
1278,Salai
1279,Dighori
1280,Narsala
1281,Pathara
1282,Mundi Dhana Ryt.
1283,Jamlapani
1284,Lonadei Mal
1285,Kaudiya
1286,Ghogara Ryt.
1287,Pathai
1288,Sonpathar
1289,Dholankhapa
1290,Bamla
1291,Lonadei Ryt.
1292,Chiman Khapa
1293,Bhaisa Dongri Ryt.
1294,Karaghat Kamthi
1295,Chhindboh
1296,Barighat
1297,Palaspani
1298,Jamghat
1299,Chikhali Mukasa
1300,Chikri Ryt.(Viran Gram)
1301,Uttamdera Ryt.
1302,Uttamdera Mal.
1303,Dhanora
1304,Chhabdi
1305,Met
1306,Kundali
1307,Birolipar
1308,Sawajpani Mal.
1309,Sawajpani Ryt.
1310,Ambada Mal.
1311,Ghogri
1312,Raibasa
1313,Buchankhapa
1314,Bhajipani
1315,Pither Ryt.
1316,Bandhan
1317,Paunar Mal.
1318,Paunar Ryt.
1319,Nandanwadi Ryt.
1320,Nandanwadi Mal.
1321,Markawada
1322,Changoba
1323,Pither Mal.
1324,Sendurjana
1325,Rajdongri
1326,Deonala Ryt.
1327,Deonala Mal.
1328,Sirata
1329,Chatwa
1330,Temni
1331,Gaykhuri
1332,Lendaghondi
1333,Mangurli
1334,Ambada Alias Maini Dhana Ryt.
1335,Morghondi
1336,Lendhori
1337,Kamthi Kalan
1338,Dholan Khapa B.S.
1339,Duddewani
1340,Dholan Khapa Ryt.
1341,Sillewani
1342,Gadmau
1343,Khadki
1344,Bhuyari
1345,Belgaon Dawami
1346,Sawajpani
1347,Umara Makta
1348,Bhuli
1349,Markawada
1350,Kalapatha
1351,Bhimkhedi
1352,Khedidhan Bhoyarwar
1353,Umari Khurd
1354,Junewani
1355,Parsodi
1356,Ringankhapa
1357,Gorlikhapa
1358,Bhatewadi
1359,Piparpani
1360,Bichhawasani
1361,Borgaon
1362,Mandvi
1363,Mohi
1364,Teegaon
1365,Chikni
1366,Itawa
1367,Bichhuwa Kalan
1368,Kolikhapa
1369,Pandoni
1370,Ghudankhapa
1371,Pailepar
1372,Marood
1373,Wakora
1374,Khedi Pandewar
1375,Chichkheda
1376,Mohgaon
1377,Warjali
1378,Khedi Dhajjewar
1379,Ajangaon
1380,Khedikala
1381,Bhandargondi
1382,Borkhedi
1383,Godarikhapa
1384,Kamthi Khurd
1385,Deo Khapa
1386,Pandurna Kasba
1387,Ambakhapa
1388,Magajgaon
1389,Wadegaon
1390,Kalamgaon
1391,Heti
1392,Hardoli
1393,Bangaon
1394,Biroli
1395,Lavhana
1396,Jatlapur
1397,Linga Eletir
1398,Mohkhedi
1399,Rajora Kalan
1400,Khapar Kheda
1401,Joga
1402,Sonegaon
1403,Hiwara Prithwiram
1404,Umarikalan
1405,Ambada Khurd
1406,Chichghat
1407,Gujarkhedi
1408,Junapani Dawami No.1
1409,Junapani Mal.
1410,Dudha
1411,Rajora Khurd
1412,Junapani Dawami No.2
1413,Nandpur
1414,Pardi
1415,Nilkanth
1416,Dhawadi Khapa
1417,Mordongri
1418,Dadhimeta
1419,Malegaon
1420,Khairipaika
1421,Karvhar
1422,Kukadikhapa
1423,Langha
1424,Khapa Razadi
1425,Wadda Dawami
1426,Wadda Mal.
1427,Seoni
1428,Rajana
1429,Temni
1430,Ghogari
1431,Hiwarasenadwar
1432,Kondhar Mal.
1433,Chicholi
1434,Sitapar
1435,Kodhar Roadikheda
1436,Vagholi
1437,Ajangaon
1438,Boghiya
1439,Narayan Ghat
1440,More Ghat
1441,Borpani F.V.
1442,Govindpur
1443,Balapur F.V.
1444,Malapur
1445,Vada
1446,Ghogari Ryt.Wari
1447,Thawari Damodar
1448,Pipraj
1449,Bhajipani
1450,Darbai
1451,Lonikalan
