,id,id_,score
1319197,1045,407,0.833333333333
487481,386,349,0.833333333333
488112,386,980,0.833333333333
1462650,1158,1254,0.833333333333
434400,344,272,0.833333333333
1524834,1208,338,0.833333333333
793379,628,843,0.833333333333
1408202,1115,1072,0.833333333333
1411182,1118,266,0.833333333333
577647,457,913,0.833333333333
1346296,1066,1004,0.833333333333
471161,373,435,0.833333333333
471792,373,1066,0.833333333333
792748,628,212,0.833333333333
10937,8,841,0.833333333333
577016,457,282,0.833333333333
441455,349,1017,0.833333333333
1223455,969,577,0.833333333333
473361,375,111,0.833333333333
1578717,1250,1217,0.833333333333
1133132,897,1118,0.833333333333
473992,375,742,0.833333333333
273216,216,624,0.833333333333
1139930,903,344,0.833333333333
1578086,1250,586,0.833333333333
1481349,1173,1023,0.833333333333
141088,111,1006,0.833333333333
937410,742,1006,0.833333333333
21798,17,344,0.833333333333
1582713,1254,165,0.833333333333
1525465,1208,969,0.833333333333
273847,216,1255,0.833333333333
1140561,903,975,0.833333333333
1132501,897,487,0.833333333333
336179,266,487,0.833333333333
1462193,1158,797,0.833333333333
1069538,847,624,0.833333333333
68141,53,1255,0.833333333333
14453,11,571,0.833333333333
1565490,1240,610,0.833333333333
259186,205,476,0.833333333333
314483,249,245,0.833333333333
1078171,854,423,0.833333333333
1078802,854,1054,0.833333333333
208853,165,623,0.833333333333
1566121,1240,1241,0.833333333333
534049,423,223,0.833333333333
611880,484,1072,0.833333333333
210019,166,527,0.833333333333
1373969,1088,913,0.833333333333
210650,166,1158,0.833333333333
1566751,1241,609,0.833333333333
611249,484,441,0.833333333333
67510,53,624,0.833333333333
1070169,847,1255,0.833333333333
731574,579,876,0.833333333333
102782,81,560,0.833333333333
557657,441,1115,0.833333333333
721244,571,642,0.833333333333
1055508,836,476,0.833333333333
1056139,836,1107,0.833333333333
1503754,1191,712,0.833333333333
315114,249,876,0.833333333333
1267483,1004,435,0.833333333333
363774,288,318,0.833333333333
1291492,1023,466,0.833333333333
1061981,841,639,0.833333333333
10306,8,210,0.833333333333
1536473,1217,619,0.833333333333
1065125,843,1259,0.833333333333
364405,288,949,0.833333333333
728512,577,338,0.833333333333
1330371,1054,223,0.833333333333
730943,579,245,0.833333333333
344239,272,975,0.833333333333
1384806,1097,392,0.833333333333
899104,712,560,0.833333333333
15084,11,1202,0.833333333333
268803,212,1259,0.833333333333
495246,392,542,0.833333333333
495170,392,466,0.833333333333
1230467,975,17,0.833333333333
1319828,1045,1038,0.833333333333
1040559,824,671,0.833333333333
1106392,876,880,0.833333333333
1106722,876,1210,0.833333333333
1039928,824,40,0.833333333333
811406,642,1202,0.833333333333
1110805,880,245,0.833333333333
1462019,1158,623,0.833333333333
1480718,1173,392,0.833333333333
523506,414,1038,0.833333333333
1231098,975,648,0.833333333333
740151,586,619,0.833333333333
685027,542,1023,0.833333333333
522875,414,407,0.833333333333
244237,193,671,0.833333333333
243606,193,40,0.833333333333
1385437,1097,1023,0.833333333333
1237777,980,1017,0.833333333333
265659,210,639,0.833333333333
818120,648,344,0.833333333333
